artifact,unit,competency,evidence,reviewer,revisionRequired
Scholarly analysis,U01,close reading/evidence,annotated analysis,teacher,yes
Original narrative,U03,narrative craft,draft + revision,teacher,yes
Poetry portfolio,U04,voice/figurative language,portfolio,teacher,yes
Speech,U06,speaking/rhetoric,recording + rubric,teacher,yes
Research report,U07,research/citation,sources + report,teacher,yes
Informational article,U08,informative writing,publication draft,teacher,yes
Novel analysis,U09,synthesis,essay/conference,teacher,yes
Position paper,U10,argument,paper + debate,teacher,yes
Publication,U11,publication/multimodal,final artifact,teacher,yes
Capstone defense,U12,independence/reflection,portfolio + oral defense,teacher,yes
